version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single
n_size,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000
run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0011859999999999649,0.006628999999999996,0.012513000000000218,0.03287900000000121,0.023942000000001684,0.03618799999999922,0.036512000000001876,0.048558999999997354,0.05316799999999944,0.0654040000000009,2.1620040000000245,0.001790999999999987,0.009069000000000216,0.017555999999999905,0.027328000000000685,0.03591199999999972,0.04296599999999984,0.05006699999999853,0.05671999999999855,0.06810000000000116,0.07648600000000272,2.5698429999999917,0.001383000000000023,0.008158000000000332,0.015025999999998874,0.04427100000000195,0.015508999999997997,0.03805499999999995,0.09984599999999944,0.03800300000000334,0.06552699999998879,0.07742899999999509,3.111979999999903
29,0.001373000000000013,0.006817000000000073,0.018061000000000327,0.019653999999999172,0.03307500000000019,0.035909999999997666,0.043350000000003774,0.04377399999999909,0.10631600000000674,0.07473799999999642,1.661559000000011,0.0017659999999999343,0.00915300000000041,0.017552999999999486,0.0272660000000009,0.035597000000002765,0.043057999999994934,0.050979999999995584,0.0572169999999943,0.06877599999999973,0.07678100000001109,2.4700450000000274,0.001442999999999972,0.01390899999999995,0.012439000000000533,0.020983000000001084,0.051306000000000296,0.054375000000000284,0.057442999999999245,0.06700099999999054,0.06412499999999,0.03205499999999972,3.5758650000000216
30,0.0014020000000000143,0.007575000000000109,0.019434000000000395,0.020105000000000928,0.03969900000000237,0.04198900000000094,0.0614270000000019,0.05512199999999723,0.07010200000000566,0.05338100000000168,1.747953999999936,0.0017859999999999543,0.00921100000000008,0.01764700000000019,0.026659999999999684,0.036286000000000485,0.04272699999999929,0.0497219999999956,0.05787500000000989,0.06524699999999939,0.07656400000000474,2.4041199999999208,0.0019820000000000393,0.02043100000000031,0.0205649999999995,0.032538999999999874,0.07438000000000144,0.06687000000000154,0.058700999999999226,0.06344199999999489,0.08843399999999235,0.06240300000000332,6.197183000000223
31,0.0013929999999999776,0.010066999999999826,0.019854000000000482,0.0758220000000005,0.022497999999998797,0.0280719999999981,0.0429719999999989,0.05245599999999939,0.056072000000000344,0.057533000000006496,1.6697449999999208,0.0017819999999999503,0.009220999999999702,0.017704000000000164,0.026673999999999864,0.035602999999998275,0.04315000000000424,0.049334000000001765,0.06077299999999752,0.06576199999999233,0.08020199999999988,2.5681460000000698,0.0017810000000000326,0.006997999999999838,0.02862900000000046,0.022525999999999158,0.0602899999999984,0.045644000000002904,0.03597100000000353,0.08826899999999682,0.09512300000000096,0.03240100000000723,1.5675229999999374
32,0.0011420000000000874,0.00630799999999998,0.013506999999999714,0.021627000000000507,0.05811399999999978,0.05418099999999981,0.042532000000001347,0.03886800000000079,0.05708699999999567,0.08024800000001164,1.8425409999999829,0.001822999999999908,0.009113999999999844,0.017991999999999564,0.026664000000000243,0.03524200000000022,0.044362999999997044,0.052599999999998204,0.06042899999999918,0.07237200000000144,0.07499599999999873,2.4405320000000756,0.0019479999999999498,0.016780999999999935,0.04420499999999983,0.020365999999999218,0.021075999999997208,0.031857000000002245,0.10818699999999382,0.07112600000000668,0.056339000000008355,0.1438270000000017,6.8219819999999345
33,0.0012590000000000101,0.005857000000000001,0.01391700000000018,0.049548999999998955,0.02973299999999668,0.06610999999999834,0.07317299999999705,0.044418999999997766,0.0484519999999975,0.05351699999999937,1.582196999999951,0.0017800000000000038,0.009144999999999737,0.017654999999999532,0.027686000000000988,0.03522599999999798,0.04301200000000449,0.0509619999999984,0.05985100000000898,0.07444199999999057,0.07785199999999293,2.5293309999999565,0.0020609999999999795,0.011461000000000165,0.018359999999999488,0.043285000000000906,0.02813499999999891,0.03668100000000152,0.059877999999997655,0.05655399999999133,0.043679999999994834,0.06976400000000638,3.9572249999998803
34,0.0011649999999999716,0.008920000000000039,0.01793900000000015,0.021836999999999662,0.027598999999998597,0.04101999999999961,0.03729900000000441,0.0711250000000021,0.06477100000000746,0.07363600000000758,2.176930000000084,0.0017940000000000733,0.009110000000000174,0.01904400000000006,0.027134000000000214,0.035215000000000884,0.04224800000000073,0.050831999999999766,0.059106999999997356,0.0675679999999943,0.07371600000000456,2.5520890000000236,0.0020299999999999763,0.005469000000000168,0.011693000000001064,0.020454999999998336,0.033449999999998425,0.04223199999999849,0.011122999999997774,0.023471000000000686,0.05844199999999944,0.0476499999999902,5.658437000000049
35,0.0016720000000000068,0.009506999999999932,0.01424700000000012,0.019191999999998544,0.029259999999997177,0.04775799999999819,0.05814699999999817,0.04135500000000292,0.0554740000000038,0.05310500000000218,1.5603920000000926,0.0017539999999999223,0.009081999999999812,0.018607000000000262,0.02754700000000021,0.03740900000000025,0.041922999999997046,0.05292999999999637,0.060625000000001705,0.06821100000000513,0.07863799999999799,2.455204999999978,0.0015770000000000506,0.010387999999999842,0.03334699999999913,0.04666699999999935,0.016321000000001362,0.04014200000000301,0.03363199999999722,0.052554000000000656,0.08051799999999787,0.0910520000000048,4.598504999999932
36,0.0011550000000000171,0.006561000000000039,0.01595499999999994,0.018785999999998637,0.027317000000000036,0.037682000000000215,0.0417059999999978,0.047905000000000086,0.04860699999998985,0.07098300000001245,1.7544920000000275,0.0017979999999999663,0.009082999999999952,0.01840600000000059,0.026362999999999914,0.03684599999999705,0.04190300000000491,0.0507780000000011,0.059167999999999665,0.06534700000000271,0.07646099999999478,2.5392570000000205,0.0023169999999999025,0.009071000000000051,0.023438000000000514,0.04435100000000247,0.026622999999997177,0.04528399999999522,0.021993999999999403,0.054272000000011644,0.028795999999999822,0.07087200000000848,5.6258980000000065
37,0.0014879999999999338,0.006901999999999964,0.01673400000000047,0.025458999999999676,0.035786999999999125,0.04631200000000035,0.03558200000000511,0.07094399999999723,0.0483120000000099,0.05110700000000179,2.1777929999999515,0.0017810000000000326,0.009074000000000026,0.023439999999999905,0.026276000000001076,0.03633199999999803,0.042034000000001015,0.04932500000000317,0.06006800000000112,0.0646250000000066,0.07668800000000431,2.5265079999999216,0.001270999999999911,0.009716000000000058,0.01388899999999893,0.02448699999999704,0.012207000000000079,0.038362999999996816,0.0874860000000055,0.06043499999999824,0.1204400000000021,0.10179599999999311,4.169720999999981
